Date,Address,Land Area,Price per m2,Price Total,Subdistrict,Regency
2024-04-29,"Ubud, Gianyar",2800.0,4500000.0,12600000000.0,Ubud,Gianyar
2024-04-29,"Jimbaran, Badung",450.0,6500000.0,2925000000.0,Jimbaran,Badung
2024-04-22,"Kerobokan, Badung",1000.0,16000000.0,16000000000.0,Kerobokan,Badung
2024-04-29,"Kapal, Badung",338.0,4000000.0,1352000000.0,Kapal,Badung
2024-04-29,"Pererenan, Badung",328.0,13000000.0,4264000000.0,Pererenan,Badung
2024-02-29,"Legian, Badung",1620.0,15000000.0,24300000000.0,Legian,Badung
2024-04-29,"Kediri, Tabanan",145.0,3793103.4482758623,550000000.0,Kediri,Tabanan
2024-04-29,"Denpasar Utara, Denpasar",280.0,3500000.0,980000000.0,Denpasar Utara,Denpasar
2024-04-29,"Pecatu, Badung",1200.0,5500000.0,6600000000.0,Pecatu,Badung
2024-04-29,"Kediri, Tabanan",145.0,3793103.4482758623,550000000.0,Kediri,Tabanan
2024-04-29,"Denpasar Timur, Denpasar",295.0,6500000.0,1917500000.0,Denpasar Timur,Denpasar
2024-04-25,"Sempidi, Badung",60.0,4750000.0,285000000.0,Sempidi,Badung
2024-04-29,"Kuta, Badung",870.0,17241379.310344826,15000000000.0,Kuta,Badung
2024-04-29,"Kerobokan, Badung",832.0,6995192.307692308,5820000000.0,Kerobokan,Badung
2024-04-29,"Renon, Denpasar",500.0,17000000.0,8500000000.0,Renon,Denpasar
2024-04-29,"Tanjung Benoa, Badung",958.0,4175365.344467641,4000000000.0,Tanjung Benoa,Badung
2024-04-29,"Canggu, Badung",400.0,6850000.0,2740000000.0,Canggu,Badung
2024-04-29,"Darmasaba, Badung",510.0,4000000.0,2040000000.0,Darmasaba,Badung
2024-04-29,"Sanur, Denpasar",488.0,7172131.147540984,3500000000.0,Sanur,Denpasar
2024-04-29,"Canggu, Badung",830.0,5036144.578313253,4179999999.9999995,Canggu,Badung
2024-04-29,"Canggu, Badung",600.0,6600000.0,3960000000.0,Canggu,Badung
2024-04-29,"Dawan, Klungkung",1150.0,5000000.0,5750000000.0,Dawan,Klungkung
2024-04-29,"Canggu, Badung",450.0,15000000.0,6750000000.0,Canggu,Badung
2024-04-29,"Jimbaran, Badung",1500.0,4500000.0,6750000000.0,Jimbaran,Badung
2024-04-29,"Ungasan, Badung",300.0,5333333.333333333,1600000000.0,Ungasan,Badung
2024-04-29,"Munggu, Badung",200.0,6850000.0,1370000000.0,Munggu,Badung
2024-04-29,"Kerobokan, Badung",600.0,13000000.0,7800000000.0,Kerobokan,Badung
2024-04-29,"Pererenan, Badung",530.0,8792452.830188679,4660000000.0,Pererenan,Badung
2024-04-29,"Kuta, Badung",2900.0,551724.1379310344,1600000000.0,Kuta,Badung
2024-04-29,"Kemenuh, Gianyar",540.0,3500000.0,1890000000.0,Kemenuh,Gianyar
2024-04-29,"Uluwatu, Badung",2000.0,11000000.0,22000000000.0,Uluwatu,Badung
2024-04-29,"Cepaka, Tabanan",2500.0,2000000.0,5000000000.0,Cepaka,Tabanan
2024-04-29,"Sidakarya, Denpasar",292.0,7500000.0,2190000000.0,Sidakarya,Denpasar
2024-04-29,"Denpasar Selatan, Denpasar",129.0,7000000.0,903000000.0,Denpasar Selatan,Denpasar
2024-04-29,"Denpasar Timur, Denpasar",1700.0,15000000.0,25500000000.0,Denpasar Timur,Denpasar
2024-02-29,"Renon, Denpasar",450.0,8750000.0,3937500000.0,Renon,Denpasar
2024-04-29,"Canggu, Badung",1230.0,8000000.0,9840000000.0,Canggu,Badung
2024-04-29,"Ubud, Gianyar",1370.0,10948905.109489052,15000000000.0,Ubud,Gianyar
2024-04-29,"Pecatu, Badung",300.0,4500000.0,1350000000.0,Pecatu,Badung
2024-04-29,"Denpasar Barat, Denpasar",205.0,5750000.0,1178750000.0,Denpasar Barat,Denpasar
2024-04-29,"Jimbaran, Badung",500.0,7450000.0,3725000000.0,Jimbaran,Badung
2024-04-29,"Renon, Denpasar",600.0,13500000.0,8100000000.0,Renon,Denpasar
2024-04-29,"Pecatu, Badung",850.0,12000000.0,10200000000.0,Pecatu,Badung
2024-04-29,"Benoa, Badung",270.0,4000000.0,1080000000.0,Benoa,Badung
2024-04-29,"Ketewel, Gianyar",430.0,3750000.0,1612500000.0,Ketewel,Gianyar
2024-04-28,"Ubud, Gianyar",3440.0,1100000.0,3784000000.0,Ubud,Gianyar
2024-04-29,"Sanur, Denpasar",414.0,8750000.0,3622500000.0,Sanur,Denpasar
2024-04-29,"Denpasar Barat, Denpasar",960.0,7500000.0,7200000000.0,Denpasar Barat,Denpasar
2024-04-29,"Ubud, Gianyar",600.0,1500000.0,900000000.0,Ubud,Gianyar
2024-04-29,"Kerobokan, Badung",250.0,12500000.0,3125000000.0,Kerobokan,Badung
2024-04-29,"Pererenan, Badung",443.0,11986455.981941309,5310000000.0,Pererenan,Badung
2024-04-29,"Baktiseraga, Buleleng",800.0,3500000.0,2800000000.0,Baktiseraga,Buleleng
2024-04-01,"Ubud, Gianyar",1000.0,2500000.0,2500000000.0,Ubud,Gianyar
2024-04-15,"Ubud, Gianyar",1600.0,2650000.0,4240000000.0,Ubud,Gianyar
2024-04-29,"Ubud, Gianyar",401.0,6500000.0,2606500000.0,Ubud,Gianyar
2024-02-29,"Ubud, Gianyar",222.0,5180180.18018018,1150000000.0,Ubud,Gianyar
2024-04-29,"Gatot Subroto, Denpasar",295.0,7000000.0,2065000000.0,Gatot Subroto,Denpasar
2024-04-29,"Busungbiu, Buleleng",100.0,1250000.0,125000000.0,Busungbiu,Buleleng
2024-03-30,"Pering, Gianyar",100.0,1950000.0,195000000.0,Pering,Gianyar
2024-04-29,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-29,"Nusa Dua, Badung",300.0,5000000.0,1500000000.0,Nusa Dua,Badung
2024-04-29,"Denpasar Barat, Denpasar",600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar
2023-12-01,"Canggu, Badung",200.0,9000000.0,1800000000.0,Canggu,Badung
2024-04-29,"Nyanyi, Badung",600.0,16000000.0,9600000000.0,Nyanyi,Badung
2024-04-29,"Denpasar Barat, Denpasar",600.0,7500000.0,4500000000.0,Denpasar Barat,Denpasar
2024-04-27,"Pecatu, Badung",986.0,15000000.0,14790000000.0,Pecatu,Badung
2024-04-29,"Denpasar Timur, Denpasar",187.0,2272727.272727273,425000000.0,Denpasar Timur,Denpasar
2024-04-29,"Padangsambian Kaja, Denpasar",990.0,7000000.0,6930000000.0,Padangsambian Kaja,Denpasar
2024-04-29,"Amed, Karangasem",5780.0,302768.1660899654,1750000000.0,Amed,Karangasem
2024-04-29,"Sidakarya, Denpasar",400.0,5500000.0,2200000000.0,Sidakarya,Denpasar
2023-12-31,"Renon, Denpasar",1000.0,10000000.0,10000000000.0,Renon,Denpasar
2024-04-29,"Puri Gading, Badung",2135.0,3498829.0398126463,7470000000.0,Puri Gading,Badung
2024-04-29,"Renon, Denpasar",520.0,9500000.0,4940000000.0,Renon,Denpasar
2024-04-29,"Canggu, Badung",300.0,18000000.0,5400000000.0,Canggu,Badung
2024-04-01,"Sanur, Denpasar",150.0,8000000.0,1200000000.0,Sanur,Denpasar
2024-04-29,"Dalung, Badung",210.0,6500000.0,1365000000.0,Dalung,Badung
2024-04-29,"Kediri, Tabanan",145.0,3793103.4482758623,550000000.0,Kediri,Tabanan
2024-04-01,"Goa Gong, Badung",450.0,3733333.3333333335,1680000000.0,Goa Gong,Badung
2024-04-25,"Mengwi, Badung",150.0,3000000.0,450000000.0,Mengwi,Badung
2024-04-29,"Pemecutan Kaja, Denpasar",600.0,7500000.0,4500000000.0,Pemecutan Kaja,Denpasar
2024-04-29,"Denpasar Barat, Denpasar",990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar
2024-04-29,"Banjaranyar, Tabanan",145.0,3793103.4482758623,550000000.0,Banjaranyar,Tabanan
2024-04-29,"Taro, Gianyar",6438.0,1693072.3827275552,10900000000.0,Taro,Gianyar
2024-04-29,"Denpasar Barat, Denpasar",990.0,7000000.0,6930000000.0,Denpasar Barat,Denpasar
2024-03-30,"Kediri, Tabanan",100.0,2900000.0,290000000.0,Kediri,Tabanan
2024-04-29,"Ungasan, Badung",529.0,3500000.0,1851500000.0,Ungasan,Badung
2024-04-23,"Canggu, Badung",145.0,15000000.0,2175000000.0,Canggu,Badung
2024-04-22,"Jimbaran, Badung",407.0,4500000.0,1831500000.0,Jimbaran,Badung
2024-04-25,"Canggu, Badung",240.0,9500000.0,2280000000.0,Canggu,Badung
2024-01-30,"Jimbaran, Badung",600.0,7000000.0,4200000000.0,Jimbaran,Badung
2024-03-30,"Canggu, Badung",400.0,7000000.0,2800000000.0,Canggu,Badung
2024-04-29,"Umalas, Badung",3800.0,6578947.368421053,25000000000.0,Umalas,Badung
2024-04-26,"Canggu, Badung",500.0,18000000.0,9000000000.0,Canggu,Badung
2024-03-30,"Selemadeg, Tabanan",1600.0,281250.0,450000000.0,Selemadeg,Tabanan
2024-03-30,"Kerambitan, Tabanan",2000.0,5500000.0,11000000000.0,Kerambitan,Tabanan
2024-03-30,"Kerambitan, Tabanan",5500.0,2850000.0,15675000000.0,Kerambitan,Tabanan
2024-04-15,"Tangguntiti, Tabanan",2825.0,998230.0884955752,2820000000.0,Tangguntiti,Tabanan
2024-04-28,"Canggu, Badung",400.0,8500000.0,3400000000.0,Canggu,Badung
2024-04-22,"Kuta, Badung",1200.0,8000000.0,9600000000.0,Kuta,Badung
2024-04-28,"Munggu, Badung",150.0,10000000.0,1500000000.0,Munggu,Badung
2024-04-28,"Sesetan, Denpasar",129.0,7000000.0,903000000.0,Sesetan,Denpasar
2024-04-08,"Pererenan, Badung",4300.0,5000000.0,21500000000.0,Pererenan,Badung
2024-03-30,"Cemagi, Badung",590.0,8750000.0,5162500000.0,Cemagi,Badung
2024-04-25,"Padangsambian Kelod, Denpasar",513.0,6750000.0,3462750000.0,Padangsambian Kelod,Denpasar
2024-04-01,"Pererenan, Badung",1200.0,5458333.333333333,6550000000.0,Pererenan,Badung
2024-03-30,"Denpasar Barat, Denpasar",1080.0,6750000.0,7290000000.0,Denpasar Barat,Denpasar
